LOGRADOURO,BAIRRO,CIDADE,CEP,
Rua Amariles,São Cosme de Cima (São Benedito),Santa Luzia,33130174,
Rua Amazonas,Bonanza,Santa Luzia,33065100,
Rua Amazonita,Dona Rosarinha,Santa Luzia,33080322,
Rua Ametista,Dona Rosarinha,Santa Luzia,33080325,
Beco Amizade,Baronesa (São Benedito),Santa Luzia,33115035,
Beco Amizade,Nova Esperança (São Benedito),Santa Luzia,33141013,
Praça Amizade,Maria Adélia,Santa Luzia,33016090,
Rua Amori,São Cosme de Cima (São Benedito),Santa Luzia,33130440,
Avenida Amália Caldas Vargas,Maria Antonieta Mello Azevedo (São Benedito),Santa Luzia,33140820,
Rua Amélia Francisca do Rosário Castro de Oliveira,Frimisa,Santa Luzia,33045360,
Rua Amélia de Almeida Gabrich,Nossa Senhora das Graças,Santa Luzia,33030560,
Rua Amélio Lourenço de Oliveira,Conjunto Cristina (São Benedito),Santa Luzia,33110590,
Rua Américo Renê Gianetti,Chácaras Santa Inês (São Benedito),Santa Luzia,33170020,
Rua Ana Batista da Cruz,Conjunto Cristina (São Benedito),Santa Luzia,33110360,
Rua Ana Batista da Cruz,Belo Vale,Santa Luzia,33113165,
Beco Ana,Baronesa (São Benedito),Santa Luzia,33115006,
Rua Ana Clara,Duquesa II (São Benedito),Santa Luzia,33170445,
Rua Ana Maria de Jesus,Maria Antonieta Mello Azevedo (São Benedito),Santa Luzia,33145420,
Rua Ana Pia de Oliveira,Vila Capitão Paulo,Santa Luzia,33015060,
Rua Anarolas,São Cosme de Cima (São Benedito),Santa Luzia,33130242,
Praça Anchieta,São Benedito,Santa Luzia,33125462,
Rua Andaluzite,Dona Rosarinha,Santa Luzia,33080372,
Rua Andorinhas,Maria Adélia,Santa Luzia,33016040,
Rua Angelina do Carmo Santos,Bom Jesus,Santa Luzia,33015358,
Rua Angola,Baronesa (São Benedito),Santa Luzia,33115200,
Rua Angá,São Benedito,Santa Luzia,33125350,
Rua Angélica,Duquesa II (São Benedito),Santa Luzia,33170370,
Rua Anhanga,São Cosme de Cima (São Benedito),Santa Luzia,33130490,
Rua Anhanguera,São Cosme de Cima (São Benedito),Santa Luzia,33130370,
Rua Anhuarques,São Cosme de Cima (São Benedito),Santa Luzia,33130540,
Rua Anicores,São Cosme de Cima (São Benedito),Santa Luzia,33130520,
Rua Antônia da Cunha Araújo,Liberdade,Santa Luzia,33170869,
Rua Antônio Aleixo de Araújo,Maria Antonieta Mello Azevedo (São Benedito),Santa Luzia,33140150,
Rua Antônio Augusto Silvestre,Conjunto Cristina (São Benedito),Santa Luzia,33110390,
Rua Antônio Bonifácio Machado,Maria Antonieta Mello Azevedo (São Benedito),Santa Luzia,33145460,
Rua Antônio Carlos Amorim,Santa Matilde,Santa Luzia,33025485,
Rua Alagoas,Célvia,Vespasiano,33200644,
Rua Alberto Lázaro,Názia I,Vespasiano,33200430,
Rua Alberto Silva,Célvia,Vespasiano,33200580,
Rua Alessandra Leme Santana,Vale Formoso,Vespasiano,33200036,
Alameda Alfa,Condomínio Lírio dos Vales,Vespasiano,33202020,
Rua Alfa,Bernardo de Souza,Vespasiano,33202490,
Rua Alfredo Albano Costa,Parque Jardim Itaú,Vespasiano,33200538,
Rua Alina Gonçalves dos Santos,Centro,Vespasiano,33200306,
Alameda Alisson,Angicos,Vespasiano,33206252,
Rua Almenara,Alphaville,Vespasiano,33202050,
Rua Aluízio Vercesi do Valle,Názia II,Vespasiano,33200464,
Rua Alvarenga,Alphaville,Vespasiano,33202068,
Rua Alves Bastos,Jardim da Glória,Vespasiano,33206082,
Rua Alves Horta,Jardim da Glória,Vespasiano,33206080,
Alameda Amapaenses,Jardim Encantado,Vespasiano,33205626,
Alameda Amapoula,Santa Clara,Vespasiano,33202808,
Rua Amarantina,Novo Horizonte,Vespasiano,33205198,
Rua Amarilis,Jardim Daliana,Vespasiano,33202468,
Rua Amarilis,Santa Clara,Vespasiano,33202816,
Rua Amazonas,Célvia,Vespasiano,33200634,
Alameda Ametista,Novo Horizonte,Vespasiano,33205160,
Rua Amélia Gelmini,Centro,Vespasiano,33200316,
Rua América,Vila Esportiva,Vespasiano,33202418,
Rua Ana Martins da Cruz,Conjunto Habitacional Morro Alto,Vespasiano,33203112,
Rua Ananás,Santa Clara,Vespasiano,33202788,
Rua Andaluzita,Jardim da Glória,Vespasiano,33206094,
Alameda Angelim,Rosa dos Ventos,Vespasiano,33200478,
Rua Angicos,Cipriano Velho,Vespasiano,33205340,
Estrada Antiga BH-Pedro Leopoldo,Fazenda Canavial Velho,Vespasiano,33206220,
Rua Antonieta Alves,Nova Pampulha,Vespasiano,33203262,
Rua Antônio Araújo do Vale,Santo Antônio,Vespasiano,33200412,
Rua Antônio Engrácio Pereira,Angicos,Vespasiano,33206244,
Rua Antônio Joaquim da Fonseca Ferreira,Parque Jardim Itaú,Vespasiano,33200548,
Rua Antônio Jorge,Caieiras,Vespasiano,33200164,
"Rua Antônio Mamedes
- lado par",Jequitibá,Vespasiano,33205088,
"Rua Antônio Mamedes
- lado ímpar",Bonsucesso,Vespasiano,33203254,
Rua Antônio Maximiano dos Santos,Centro,Vespasiano,33200308,
Rua Antônio Pereira da Costa,Jardim Bela Vista,Vespasiano,33205400,
Rua Antônio Rocha,Santo Antônio,Vespasiano,33200393,
Rua Antônio Silva,Centro,Vespasiano,33200332,
Rua Antônio de Castro Silva,Caieiras,Vespasiano,33200228,
Rua Anunciata Tercetti,Parque Jardim Itaú,Vespasiano,33200514,
Rua Aparecida Caetano,Nova Pampulha,Vespasiano,33203282,
Rua Aperi,Santa Clara,Vespasiano,33202830,
Rua Apá,Santa Clara,Vespasiano,33202820,
Rua Aquidaban,São Damião,Vespasiano,33202886,
Rua Aracaju,Santa Clara,Vespasiano,33202822,
Alameda Aracajú,Nova Pampulha,Vespasiano,33203406,
Alameda Araguari,Jardim Encantado,Vespasiano,33205639,
Rua Aranhas,Santa Clara,Vespasiano,33202817,
Rua Acesita,Niterói,Betim,32672114,
Rua Achiles do Pinho Ângelo,Conjunto Habitacional Bueno Franco,Betim,32671748,
"Rua Acuti
- até 298/299",Icaivera,Betim,32611014,
"Rua Acuti
- de 300/301 ao fim",Icaivera,Betim,32611100,
Rua Acácias,Monte Verde,Betim,32653498,
Rua Acássia,Parque Industrial de Betim,Betim,32631055,
"Rua Adair José Diniz
- até 58/59",Bom Repouso,Betim,32606208,
"Rua Adair José Diniz
- de 60/61 ao fim",Bom Retiro,Betim,32606190,
Rua Ademir Alves Maia,Conjunto Habitacional José Gomes de Castro,Betim,32661646,
Praça Adolfo Menezes dos Anjos,Laranjeiras,Betim,32676564,
"Avenida Adutora Várzea das Flores
- até 398/399",Itacolomi,Betim,32672586,
"Avenida Adutora Várzea das Flores
- de 400/401 a 748/749",Itacolomi,Betim,32672648,
"Avenida Adutora Várzea das Flores
- de 750/751 a 798/799",Cruzeiro do Sul,Betim,32672650,
"Avenida Adutora Várzea das Flores
- de 1200/1201 a 2698/2699",Cruzeiro do Sul,Betim,32672888,
Rua Adália,Citrolândia,Betim,32641408,
Rua Adão Gomes Ferreira,Citrolândia,Betim,32641576,
Rua Adão Roque,Paulo Camilo,Betim,32667554,
Rua Aertenes Fraga de Matos,Vila Cristina,Betim,32675350,
Rua Afonso Portes Barcelar,Parque do Cedro (Icaivera),Betim,32611600,
"Rua Afro Domingos
- até 198/199",Filadélfia,Betim,32670174,
"Rua Afro Domingos
- de 200/201 ao fim",Filadélfia,Betim,32670050,
Rua Afríca,Petrovale,Betim,32668020,
Rua Agafates,Jardim das Alterosas - 2ª Seção,Betim,32673326,
Rua Agapanto,Jardim das Alterosas - 2ª Seção,Betim,32673320,
Rua Agave,Cruzeiro do Sul,Betim,32672794,
Rua Agenor José de Almeida,Citrolândia,Betim,32641534,
Rua Agnaldo Ferreira,Bom Retiro,Betim,32606590,
"Rua Agnelo Malta
- lado ímpar",Alto das Flores,Betim,32605135,
"Rua Agnelo Malta
- lado par",Vila das Flores,Betim,32605266,
Rua Agostinho Martins Pereira,Guanabara,Betim,32667004,
Rua Agricola,Charneca,Betim,32636148,
Rua Agueda Maria,Cruzeiro,Betim,32661353,
Rua Agueda,Jardim das Alterosas 1ª Seção,Betim,32670684,
Rua Aimorés,Vila Cristina,Betim,32675856,
Rua Aimorés,Marimbá,Betim,32623050,
"Avenida Airton Senna
- até 498/499",Ponte Alta,Betim,32605608,
"Avenida Airton Senna
- de 500/501 ao fim",Ponte Alta,Betim,32605640,
Rua Airton Senna,Citrolândia,Betim,32641456,
"Rua Airuoca
- lado par",Jardim das Alterosas 1ª Seção,Betim,32670720,
"Rua Airuoca
- lado ímpar",Dom Bosco,Betim,32670605,
Rua Aiuruoca,Vila Cristina,Betim,32675858,
Rua Ajaca,Icaivera,Betim,32611088,
Avenida Akaray,Icaivera,Betim,32611108,
Rua Alagoas,Espírito Santo,Betim,32671660,
Rua Alagoas,Senhora das Graças,Betim,32604656,
Rua Alagoas,Vila Universal,Betim,32678090,
Rua Alagoinhas,Paquetá,Betim,32639568,
Beco Alameda,Jardim Teresópolis,Betim,32681820,
"Rua Alan Stacey
- de 550/551 ao fim",Ponte Alta,Betim,32605734,
"Rua Alan Stacey
- até 548/549",Ponte Alta,Betim,32605700,
Rua Alvarenga Peixoto,Amarante,Betim,32676036,
Rua Alvorada,Jardim Teresópolis,Betim,32681632,
Rua Alzira Rocha Saliba,Ingá Alto,Betim,32604380,
Praça Alzira Rosa de Jesus,Brasiléia,Betim,32600342,
Rua Amado Alves Militão,Citrolândia,Betim,32641691,
Rua Amado Alves Teixeira,Bandeirinhas,Betim,32657174,
Rua Amadora,Dom Bosco,Betim,32670586,
Rua Amandu,Icaivera,Betim,32611244,
"Alameda Amapá
- de 30/31 ao fim",Niterói,Betim,32672126,
"Alameda Amapá
- até 28/29",Jardim das Alterosas - 2ª Seção,Betim,32673062,
Rua Amapá,Novo Horizonte,Betim,32606044,
Rua Amapá,Marimbá,Betim,32623466,
Rua Amapá,Alvorada,Betim,32687026,
Rua Amapá,Senhora das Graças,Betim,32604672,
Beco Amarante,São João,Betim,32655680,
"Rua Amarante
- até 298/299",São João,Betim,32655600,
"Rua Amarante
- de 300/301 ao fim",São João,Betim,32655684,
Rua Amarantes,Jardim das Alterosas - 2ª Seção,Betim,32673368,
"Rua Amariles
- até 798/799",Jardim das Alterosas - 2ª Seção,Betim,32673140,
"Rua Amariles
- de 800/801 ao fim",Jardim das Alterosas - 2ª Seção,Betim,32673030,
"Avenida Amazonas
- até 299 - lado ímpar",Senhora de Fátima,Betim,32672325,
"Avenida Amazonas
- de 301 ao fim - lado ímpar",Vargem das Flores,Betim,32672365,
"Avenida Amazonas
- até 198 - lado par",Senhora de Fátima,Betim,32672324,
"Avenida Amazonas
- de 200 ao fim - lado par",Senhora de Fátima,Betim,32672300,
"Avenida Amazonas
- de 2170 a 2348 - lado par",Brasiléia,Betim,32600442,
Rua Alvaro da Silva Lopes,Prq R Belisario,Pedro Leopoldo,33600000,
Rua Alvorada,Ferreiras,Pedro Leopoldo,33600000,
Rua Alvorada,Prq Ecol Jd Sol,Pedro Leopoldo,33600000,
Rua Alvorada,Vera Cruz Minas,Pedro Leopoldo,33600000,
Rua Alvorada,São Geraldo,Pedro Leopoldo,33600000,
Rua Alzira Ribeiro,São Sebastião,Pedro Leopoldo,33600000,
Rua Alípio Assunção Cotta,Lua,Pedro Leopoldo,33600000,
Rua Alípio Romanelli,Centro,Pedro Leopoldo,33600000,
Rua Amando Filho,Centro,Pedro Leopoldo,33600000,
Rua Amando Fo, ,Pedro Leopoldo,33600000,
Rua Amapá,Fidalgo,Pedro Leopoldo,33600000,
Rua Amauri Joaquim Alves,Felipe Cláudio Sales,Pedro Leopoldo,33600000,
Rua Amália Rodrigues de Jesus,Felipe Cláudio Sales,Pedro Leopoldo,33600000,
Rua Amália Rodrigues de Jesus,Felipe C de Sales,Pedro Leopoldo,33600000,
Rua Ana Batista Teodoro,Lagoa STO Antonio,Pedro Leopoldo,33600000,
Rua Ana de Assis Viana,Lga Stº Antônio,Pedro Leopoldo,33600000,
Rua Andrade Pinto,Dom Júlia,Pedro Leopoldo,33600000,
Rua Andrade,Boa Esperança,Pedro Leopoldo,33600000,
Rua Anelio Caldas,Centro,Pedro Leopoldo,33600000,
Rua Anhanguera,Prq Ecol Andiara,Pedro Leopoldo,33600000,
Rua Anhanguera,Andyara,Pedro Leopoldo,33600000,
Rua Antenor Pereira,Lga Stº Antônio,Pedro Leopoldo,33600000,
Rua Antenor Pereira,Lg STO Antonio,Pedro Leopoldo,33600000,
Rua Antonio Alves, ,Pedro Leopoldo,33600000,
Passagem de Pedestres 1,Jardim Colonial,Ribeirão das Neves,33809073,
Alameda A,Granjas Primavera (Justinópolis),Ribeirão das Neves,33940142,
Avenida A,Eliane (Justinópolis),Ribeirão das Neves,33943220,
Avenida A,San Marino,Ribeirão das Neves,33836075,
Avenida A,Severina,Ribeirão das Neves,33927060,
Avenida A,Dona Clarice,Ribeirão das Neves,33944025,
Avenida A,Liberdade,Ribeirão das Neves,33822700,
Avenida A,São Luiz,Ribeirão das Neves,33882209,
Rua A,Vila Real (Justinópolis),Ribeirão das Neves,33940150,
Rua A,Maracanã (Justinópolis),Ribeirão das Neves,33902560,
Rua A,Savassi,Ribeirão das Neves,33880470,
Rua A,Santa Isabel (Justinópolis),Ribeirão das Neves,33940012,
Rua A,São Judas Tadeu,Ribeirão das Neves,33880718,
Rua A,Rosaneves,Ribeirão das Neves,33840154,
Rua A,Jardim Colonial,Ribeirão das Neves,33809014,
Rua Abel Tavares Silva Moreira,Vereda,Ribeirão das Neves,33822531,
Rua Absahy Dionisio do Prado,Granjas Primavera (Justinópolis),Ribeirão das Neves,33943021,
Rua Acadêmico Aquiles Marciano Cordeiro,Belvedere,Ribeirão das Neves,33821412,
Rua Acadêmico Danilo Horta,Belvedere,Ribeirão das Neves,33821411,
Rua Acadêmico Lúcio Emílio de Faria,Belvedere,Ribeirão das Neves,33821420,
Rua Acadêmico Roberto Marinho,Belvedere,Ribeirão das Neves,33821427,
Rua Acadêmico Vivaldi Moreira,Belvedere,Ribeirão das Neves,33821418,
Rua Acesita,Sevilha (2ª Seção),Ribeirão das Neves,33840550,
Rua Acre,Menezes (Justinópolis),Ribeirão das Neves,33913470,
Rua Acre,Urca (Justinópolis),Ribeirão das Neves,33933630,
Avenida Alagoas,Sevilha (2ª Seção),Ribeirão das Neves,33858650,
Rua Alagoas,Menezes (Justinópolis),Ribeirão das Neves,33913330,
Rua Alagoas,Paraíso das Piabas (Justinópolis),Ribeirão das Neves,33910010,
Alameda Alamandas,Vale das Acácias,Ribeirão das Neves,33830115,
Rua Alaíde Lisboa,Fazenda Castro,Ribeirão das Neves,33826090,
Rua Alberto Barbosa da Silva,Pedra Branca (Justinópolis),Ribeirão das Neves,33925430,
Rua Alberto Diniz,Barcelona,Ribeirão das Neves,33841232,
Rua Alberto Gaudêncio de Melo,Veneza,Ribeirão das Neves,33820090,
Rua Alberto Mussa,Barcelona,Ribeirão das Neves,33841240,
Rua Alberto Santos Dumont,Rosana,Ribeirão das Neves,33860200,
Rua Alberto da Costa e Silva,Barcelona,Ribeirão das Neves,33841230,
Rua Alcides Diniz Andrade,Alterosa,Ribeirão das Neves,33821325,
Rua Alcobaça,Jardim Alvorada (Justinópolis),Ribeirão das Neves,33938129,
Rua Alda Salomão Resende,São João de Deus (Justinópolis),Ribeirão das Neves,33943425,
Rua Aldimar Miranda de Oliveira,Santa Martinha,Ribeirão das Neves,33860380,
Rua Aldinéia Miranda Lelis,Santa Martinha,Ribeirão das Neves,33860370,
Rua Alecrins,Santa Margarida (Justinópolis),Ribeirão das Neves,33920320,
Rua Alemanha,Maria Helena 2 (Justinópolis),Ribeirão das Neves,33930005,
Rua Alexandre Barreto Cavalcante,Alterosa,Ribeirão das Neves,33821105,
Rua Alexandre Barreto Cavalcanti,Alterosa,Ribeirão das Neves,33821340,
Rua Alexandre Franca,Veneza,Ribeirão das Neves,33820040,
Rua Alexandre Ribeiro,Veneza,Ribeirão das Neves,33820300,
Rua Alfa,Cristais (Justinópolis),Ribeirão das Neves,33910080,
Rua Alfa,Everest,Ribeirão das Neves,33935720,
Rua Alfazema,Rosaneves,Ribeirão das Neves,33840360,
Rua Alfenas,Sevilha (2ª Seção),Ribeirão das Neves,33858400,
Rua Alfredo Bosi,Barcelona,Ribeirão das Neves,33841242,
Rua Alfredo Una,Hawaí (Justinópolis),Ribeirão das Neves,33935250,
Rua Alice Maria Esméria,Alterosa,Ribeirão das Neves,33821200,
Rua Alice Maria de Oliveira,Veneza,Ribeirão das Neves,33820180,
Rua Alice Soares,Vereda,Ribeirão das Neves,33822537,
Rua Alice Ventura,Tony (Justinópolis),Ribeirão das Neves,33930590,
Rua Alison Luiz de Oliveira,Centro (Justinópolis),Ribeirão das Neves,33900705,
Rua Almenara,Fazenda Castro,Ribeirão das Neves,33826092,
Rua Almenara,Sevilha (1ª Seção),Ribeirão das Neves,33855190,
Rua Almerir Batista de Oliveira,Florença,Ribeirão das Neves,33825020,
Rua Almirante Tamandaré,Flamengo (Justinópolis),Ribeirão das Neves,33933180,
Rua Altamiro Cândido de Oliveira,Nossa Senhora da Conceição,Ribeirão das Neves,33943420,
Rua Altino Diniz Andrade,Alterosa,Ribeirão das Neves,33821370,
Rua Alto Araguaia,Santa Fé (Justinópolis),Ribeirão das Neves,33935030,
Rua Aluísio de Azevedo,Barcelona,Ribeirão das Neves,33841213,
Rua Alva Bonina,Rosaneves,Ribeirão das Neves,33840250,
Beco Alvarenga,Tancredo Neves (Justinópolis),Ribeirão das Neves,33937054,
Beco Alvarenga,Vila Bispo de Maura,Ribeirão das Neves,33938460,
Rua Alvarenga,Sevilha (1ª Seção),Ribeirão das Neves,33855040,
Rua Alvimar José Alves,São Judas Tadeu,Ribeirão das Neves,33880746,
Rua Alvinópolis,Kátia (Justinópolis),Ribeirão das Neves,33935480,
Rua Alvinópolis,Xangrilá (Justinópolis),Ribeirão das Neves,33938310,
Rua Alzira Caldeira de Paula,Pedra Branca (Justinópolis),Ribeirão das Neves,33925510,
Rua Alzira Menezes Nogueira,Distrito Industrial João de Almeida,Ribeirão das Neves,33880300,
Rua Amapá,Menezes (Justinópolis),Ribeirão das Neves,33913260,
Rua Amaral,Botafogo (Justinópolis),Ribeirão das Neves,33902195,
Rua Amaralina,Granjas Primavera (Justinópolis),Ribeirão das Neves,33940020,
Rua Ambrozina Geraldina da Costa,Porto Seguro,Ribeirão das Neves,33863030,
Rua Amendoeira,Girassol,Ribeirão das Neves,33915100,
Rua Ametista,Franciscadriângela,Ribeirão das Neves,33822035,
Beco Amizade,Tancredo Neves (Justinópolis),Ribeirão das Neves,33937055,
Rua Amália Barbosa de Freitas,Pedra Branca (Justinópolis),Ribeirão das Neves,33925480,
Rua Amélia,Adriana (Justinópolis),Ribeirão das Neves,33902565,
Rua Américo Gonçalves,Nova União,Ribeirão das Neves,33861520,
Rua Américo Vespúcio,Fazenda Castro,Ribeirão das Neves,33826116,
Avenida Amílcar Savassi de Souza,Savassi,Ribeirão das Neves,33880390,
Rua Ana Alvarenga Campos,Luar da Pampulha (Justinópolis),Ribeirão das Neves,33936043,
Rua Ana Caetana da Purificação,Eliane (Justinópolis),Ribeirão das Neves,33943190,
Rua Ana Granato de Faria,Veneza,Ribeirão das Neves,33820070,
Rua Ana José dos Santos,Maracanã (Justinópolis),Ribeirão das Neves,33902712,
Rua Ana Maria Machado,Fazenda Castro,Ribeirão das Neves,33826007,
Rua Ana Maria de Jesus,Savassi,Ribeirão das Neves,33880400,
Rua Ana Maria de Lourdes Santos,Vereda,Ribeirão das Neves,33822551,
Rua Ana Marques Costa,Nossa Senhora da Conceição,Ribeirão das Neves,33943380,
Rua Ana Nazareth de Oliveira,Céu Anil (Justinópolis),Ribeirão das Neves,33935680,
Rua Ana Paula Teixeira,Porto Seguro,Ribeirão das Neves,33863047,
Rua Ana Vieira do Nascimento,Jardim Primavera,Ribeirão das Neves,33933646,
Rua Ana da Costa Alves,Porto Seguro,Ribeirão das Neves,33863039,
Rua Ana de Lourdes Pereira da Costa,Porto Seguro,Ribeirão das Neves,33863035,
Rua Analito Pinto Monteiro,Savassi,Ribeirão das Neves,33880485,
Rua Analito Pinto Monteiro,Vila Aparecida,Ribeirão das Neves,33880486,
Praça Anastácio Soares Silva,Cidade Neviana,Ribeirão das Neves,33808032,
Rua Andaraí,Botafogo (Justinópolis),Ribeirão das Neves,33902200,
Rua Andiroba,Santa Branca (Justinópolis),Ribeirão das Neves,33935122,
Rua Andiroba,Girassol,Ribeirão das Neves,33915048,
Alameda Andorinhas,Jardim Colonial,Ribeirão das Neves,33809015,
Rua Andrelândia,Sevilha (2ª Seção),Ribeirão das Neves,33858360,
Rua Andrelândia,Xangrilá (Justinópolis),Ribeirão das Neves,33938311,
Rua Andréa,Chácaras Bom Retiro (Justinópolis),Ribeirão das Neves,33940140,
Avenida Anel,Belvedere,Ribeirão das Neves,33821435,
Rua Angelim,Girassol,Ribeirão das Neves,33915018,
Rua Angelim,Tony (Justinópolis),Ribeirão das Neves,33930530,
Rua Angelina Tavares,Vereda,Ribeirão das Neves,33822515,
Rua Angelina de Paula Moreira,Vereda,Ribeirão das Neves,33822552,
Rua Angico,Girassol,Ribeirão das Neves,33915047,
Rua Angélica de Freitas,Vereda,Ribeirão das Neves,33822518,
Rua Anilton Luiz,Santa Martinha,Ribeirão das Neves,33860410,
Rua Anis,Rosaneves,Ribeirão das Neves,33840315,
Rua Annegret,Alicante,Ribeirão das Neves,33841008,
Rua Anselmo Bento Santos,Santinho,Ribeirão das Neves,33855380,
Rua Antenas,Paraíso das Piabas (Justinópolis),Ribeirão das Neves,33910090,
Rua Antonia das Dores de Carvalho,Veneza,Ribeirão das Neves,33820270,
Rua Antonieta Diniz,Santa Martinha,Ribeirão das Neves,33860260,
Rua Antonieta Rosa Gomes,São José (Justinópolis ),Ribeirão das Neves,33900310,
Rua Antonio Cândido Rocha,Papine (Justinópolis),Ribeirão das Neves,33903018,
Rua Antonio José da Cruz,Pedra Branca (Justinópolis),Ribeirão das Neves,33925040,
Rua Antônio Agostinho Filho,Elizabeth 2ª Seção (Justinópolis),Ribeirão das Neves,33943765,
Rua Antônio Agostinho Lopes,Elizabeth (Justinópolis),Ribeirão das Neves,33943760,
Rua Antônio Alvarenga Filho,Jardim São Judas Tadeu (Justinópolis),Ribeirão das Neves,33903438,
Rua Antônio Alves Avelar,Jardim Colonial,Ribeirão das Neves,33833115,
Rua Antônio Alves da Silva,Maria Helena (Justinópolis),Ribeirão das Neves,33930050,
Rua Antônio Avelino de Castro,Veneza,Ribeirão das Neves,33820490,
Rua Antônio Basilio da Silva,Kátia (Justinópolis),Ribeirão das Neves,33935612,
Rua Antônio Benjamim Alves,Florença,Ribeirão das Neves,33823640,
Rua Antônio Catizane,Labanca (Justinópolis),Ribeirão das Neves,33903070,
Rua Antônio Cândido Rocha,Viena (Justinópolis),Ribeirão das Neves,33900670,
Rua Antônio Cândido,Barcelona,Ribeirão das Neves,33841248,
Rua Antônio Dias Quintão,Rosana,Ribeirão das Neves,33860190,
Rua Antônio Domingos Avelino,Alterosa,Ribeirão das Neves,33821155,
Rua Antônio Faustino,Dona Clara,Ribeirão das Neves,33860223,
Rua Antônio Feliciano de Souza,São José (Justinópolis ),Ribeirão das Neves,33900300,
Rua Antônio Ferreira Louro,Sevilha (1ª Seção),Ribeirão das Neves,33855070,
Rua Antônio Ferreira Paiva,Bom Sossego,Ribeirão das Neves,33860110,
Rua Antônio Galvão de Resende,Pedra Branca (Justinópolis),Ribeirão das Neves,33925065,
Rua Antônio Gonçalves Ferreira,Botafogo (Justinópolis),Ribeirão das Neves,33933610,
Avenida Antônio Gonçalves Oliveira,Veneza,Ribeirão das Neves,33820520,
Rua Antônio Gonçalves Quirino,Monte Verde,Ribeirão das Neves,33883038,
Rua Antônio Gonçalves,Dona Clarice,Ribeirão das Neves,33944015,
Rua Antônio Guadanini,Santo Antônio,Ribeirão das Neves,33805090,
Avenida Araguaia,Tancredo Neves (Justinópolis),Ribeirão das Neves,33937000,
Rua Araguaia,Granjas Primavera (Justinópolis),Ribeirão das Neves,33940200,
Rua Araguari,Sevilha (1ª Seção),Ribeirão das Neves,33855220,
Rua Arapoema,Tocantins (Justinópolis),Ribeirão das Neves,33925675,
Alameda Araras,Jardim Colonial,Ribeirão das Neves,33809079,
Rua Araxá,Kátia (Justinópolis),Ribeirão das Neves,33935420,
Alameda Araçazeiros,Vale das Acácias,Ribeirão das Neves,33830320,
Rua Araçaí,Santa Matilde,Ribeirão das Neves,33860572,
Rua Araçuaí,Sevilha (2ª Seção),Ribeirão das Neves,33840650,
Rua Arco Íris,Rosaneves,Ribeirão das Neves,33840102,
Rua Areal,Maria Helena (Justinópolis),Ribeirão das Neves,33930442,
Rua Areias,San Remo,Ribeirão das Neves,33836325,
Rua Aremita Resende,Veneza,Ribeirão das Neves,33820410,
Rua Argemiro Rocha,Santa Paula,Ribeirão das Neves,33880330,
Rua Argentina,Conjunto Henrique Sapori,Ribeirão das Neves,33823270,
Rua Argentina,Esperança (Justinópolis),Ribeirão das Neves,33913130,
"Rua Ari Teixeira da Costa
- até 848/849",Centro,Ribeirão das Neves,33805020,
"Rua Ari Teixeira da Costa
- de 850/851 ao fim",Savassi,Ribeirão das Neves,33880630,
Rua Ari Teixeira da Costa,Santa Marta,Ribeirão das Neves,33805142,
Rua Ari Teixeira da Costa,São Geraldo,Ribeirão das Neves,33805375,
Rua Ari Teixeira da Costa,Tânia,Ribeirão das Neves,33805275,
Rua Ari Teixeira da Costa,Várzea Alegre,Ribeirão das Neves,33805445,
Rua Ari Teixeira da Costa,Nossa Senhora das Neves,Ribeirão das Neves,33805035,
Rua Ari Teixeira da Costa,Status,Ribeirão das Neves,33880165,
Rua Aristides Costa,Eliane (Justinópolis),Ribeirão das Neves,33943120,
Rua Alvarenga Peixoto,Vila Passos,Nova Lima,34001284,
Rua Alvarenga Peixoto,Alphaville - Lagoa dos Ingleses,Nova Lima,34018038,
Rua Alípio Martins de Melo,Jardim Serrano,Nova Lima,34004542,
Rua Amadeu Moreira,Cascalho,Nova Lima,34002321,
Rua Amalteia,Vale do Sol,Nova Lima,34011084,
Alameda Amanda,Ouro Velho Mansões,Nova Lima,34004719,
Alameda Amanda,Pau Pombo,Nova Lima,34004660,
Rua Amazonas,Vila Operária,Nova Lima,34001319,
Rua Amazonas,Alphaville - Lagoa dos Ingleses,Nova Lima,34018142,
Rua Ametista,Vila do Ouro,Nova Lima,34012185,
Alameda Amigo do Rei,Pasárgada,Nova Lima,34009595,
Passarela Amintas Fernandes da Silva,Bonfim,Nova Lima,34001360,
Rua Amélia de Magalhães Pessoa,Centro,Nova Lima,34000312,
Rua Américo Fogli,Vila Lacerda,Nova Lima,34001190,
Rua Américo Fogli,Vila Padre Valeriano,Nova Lima,34001133,
Rua Américo Teodoro Rocha,Mingú,Nova Lima,34000586,
Rua Ana Alves Silva,Vila Industrial II,Nova Lima,34004573,
Rua Ananque,Vale do Sol,Nova Lima,34011141,
Rua Andorinha,Estância Serrana,Nova Lima,34007355,
Rua Antares,Quintas do Sol,Nova Lima,34003082,
Travessa Antenor Martins Silva,Centro,Nova Lima,34000141,
Rua Antonino Ferreira Dias,Oswaldo Barbosa Pena II,Nova Lima,34002131,
Travessa Antônio Aleixo,Cascalho,Nova Lima,34002333,
Rua Antônio André de Oliveira,Cristais Curitiba,Nova Lima,34003023,
Rua Antônio Bernardino Lopes,Vila Madeira,Nova Lima,34004096,
Rua Antônio Carvalho de Aguiar,Centro,Nova Lima,34000117,
